new_genre,Approved,G,Not Rated,PG,PG-13,Passed,R
Action,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adventure,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Anime,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Biography,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Boxing,0.0,0.0,0.0,0.25,0.5,0.0,0.25
Caper,0.0,0.0,0.0,0.25,0.25,0.0,0.5
Comedy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Crime,0.3333333333333333,0.0,0.5,0.16666666666666666,0.0,0.0,0.0
Cyberpunk,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Docudrama,0.0,0.0,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.0,0.5714285714285714
Drama,0.25,0.0,0.08333333333333333,0.25,0.0,0.0,0.4166666666666667
Epic,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.6153846153846154
Farce,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Gangster,0.0,0.0,0.2,0.0,0.0,0.0,0.8
Parody,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Samurai,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Satire,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Slapstick,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Spy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Superhero,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tragedy,0.25,0.0,0.25,0.0,0.0,0.0,0.5
