genre,frequency
drama,186
adventure,61
thriller,55
action,54
crime,53
comedy,47
tragedy,38
mystery,37
psychological drama,37
war,33
epic,30
period drama,30
fantasy,29
romance,28
biography,28
family,26
sci-fi,26
animation,22
psychological thriller,19
adventure epic,18
docudrama,17
dark comedy,15
gangster,15
action epic,15
quest,15
computer animation,13
war epic,13
suspense mystery,13
space sci-fi,12
supernatural fantasy,12
coming-of-age,12
superhero,11
sci-fi epic,10
dystopian sci-fi,10
history,9
romantic comedy,8
true crime,8
hand-drawn animation,8
fantasy epic,8
legal drama,8
sword & sorcery,8
slapstick,8
feel-good romance,8
sport,8
prison drama,7
desert adventure,7
artificial intelligence,7
western,7
urban adventure,7
satire,6
one-person army action,6
cyberpunk,6
music,6
anime,6
police procedural,6
road trip,6
hard-boiled detective,5
serial killer,5
cop drama,5
farce,5
musical,5
buddy comedy,5
horror,5
dark fantasy,5
whodunnit,4
animal adventure,4
political drama,4
time travel,4
holiday,4
samurai,4
high-concept comedy,4
teen adventure,4
dark romance,4
caper,4
boxing,4
film noir,3
classic musical,3
showbiz drama,3
supernatural horror,3
sea adventure,3
holiday comedy,3
screwball comedy,3
heist,3
spaghetti western,3
holiday romance,3
workplace drama,3
western epic,3
fairy tale,3
erotic thriller,3
survival,3
teen fantasy,3
globetrotting adventure,3
alien invasion,3
adult animation,3
jungle adventure,3
sword & sandal,3
drug crime,2
historical epic,2
psychological horror,2
steampunk,2
spy,2
martial arts,2
holiday family,2
tragic romance,2
motorsport,2
quirky comedy,2
costume drama,2
parody,2
conspiracy thriller,2
political thriller,2
legal thriller,2
monster horror,2
slasher horror,1
teen comedy,1
medical drama,1
gun fu,1
mountain adventure,1
shōjo,1
jukebox musical,1
financial drama,1
sketch comedy,1
body horror,1
contemporary western,1
dinosaur adventure,1
iyashikei,1
car action,1
romantic epic,1
holiday animation,1
teen drama,1
cyber thriller,1
bumbling detective,1
stop motion animation,1
stoner comedy,1
swashbuckler,1
steamy romance,1
kaiju,1
