title,url,rating,rating_count,description,genre,content_rating,duration
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3,2951759,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Drama,R,PT2H22M
The Godfather,https://www.imdb.com/title/tt0068646/,9.2,2057619,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Crime, Drama",R,PT2H55M
The Dark Knight,https://www.imdb.com/title/tt0468569/,9.0,2932973,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Action, Crime, Drama",PG-13,PT2H32M
The Godfather Part II,https://www.imdb.com/title/tt0071562/,9.0,1390494,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama",R,PT3H22M
12 Angry Men,https://www.imdb.com/title/tt0050083/,9.0,888377,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime, Drama",Approved,PT1H36M
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,9.0,2020695,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action, Adventure, Drama",PG-13,PT3H21M
Schindler&apos;s List,https://www.imdb.com/title/tt0108052/,9.0,1480744,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History",R,PT3H15M
Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9,2266658,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama",R,PT2H34M
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.9,2050294,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action, Adventure, Drama",PG-13,PT2H58M
"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,8.8,827086,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure, Drama, Western",R,PT2H58M
Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8,2309313,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Drama, Romance",PG-13,PT2H22M
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,8.8,1821783,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama",PG-13,PT2H59M
Fight Club,https://www.imdb.com/title/tt0137523/,8.8,2383557,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,R,PT2H19M
Inception,https://www.imdb.com/title/tt1375666/,8.8,2602995,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action, Adventure, Sci-Fi",PG-13,PT2H28M
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7,1405310,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Action, Adventure, Fantasy",PG,PT2H4M
The Matrix,https://www.imdb.com/title/tt0133093/,8.7,2095816,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi",R,PT2H16M
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7,1284624,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography, Crime, Drama",R,PT2H25M
One Flew Over the Cuckoo&apos;s Nest,https://www.imdb.com/title/tt0073486/,8.7,1089613,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,R,PT2H13M
Interstellar,https://www.imdb.com/title/tt0816692/,8.7,2175015,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Adventure, Drama, Sci-Fi",PG-13,PT2H49M
Se7en,https://www.imdb.com/title/tt0114369/,8.6,1842932,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery",R,PT2H7M
It&apos;s a Wonderful Life,https://www.imdb.com/title/tt0038650/,8.6,507085,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama, Family, Fantasy",PG,PT2H10M
Shichinin no samurai,https://www.imdb.com/title/tt0047478/,8.6,373247,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action, Drama",Not Rated,PT3H27M
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6,1583179,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller",R,PT1H58M
Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6,1526003,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama, War",R,PT2H49M
Cidade de Deus,https://www.imdb.com/title/tt0317248/,8.6,815509,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.","Crime, Drama",R,PT2H10M
La vita è bella,https://www.imdb.com/title/tt0118799/,8.6,756319,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance",PG-13,PT1H56M
The Green Mile,https://www.imdb.com/title/tt0120689/,8.6,1438631,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people&apos;s ailments. When the lead guard, Paul Edgecombe, recognizes John&apos;s gift, he tries to help stave off the condemned man&apos;s execution.","Crime, Drama, Fantasy",R,PT3H9M
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,8.6,1198021,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","Action, Adventure, Sci-Fi",R,PT2H17M
Star Wars,https://www.imdb.com/title/tt0076759/,8.6,1474295,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...","Action, Adventure, Fantasy",PG,PT2H1M
Back to the Future,https://www.imdb.com/title/tt0088763/,8.5,1337228,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure, Comedy, Sci-Fi",PG,PT1H56M
Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,8.6,874382,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","Animation, Adventure, Family",PG,PT2H4M
The Pianist,https://www.imdb.com/title/tt0253474/,8.5,934529,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","Biography, Drama, Music",R,PT2H30M
Gisaengchung,https://www.imdb.com/title/tt6751668/,8.5,999299,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama, Thriller",R,PT2H12M
Psycho,https://www.imdb.com/title/tt0054215/,8.5,732599,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"Horror, Mystery, Thriller",R,PT1H49M
Gladiator,https://www.imdb.com/title/tt0172495/,8.5,1664044,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action, Adventure, Drama",R,PT2H35M
The Lion King,https://www.imdb.com/title/tt0110357/,8.5,1166764,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama",G,PT1H28M
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,8.6,407814,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...","Animation, Action, Adventure",PG,PT2H20M
The Departed,https://www.imdb.com/title/tt0407887/,8.5,1448340,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime, Drama, Thriller",R,PT2H31M
Whiplash,https://www.imdb.com/title/tt2582802/,8.5,1023212,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,"Drama, Music",R,PT1H46M
Hotaru no haka,https://www.imdb.com/title/tt0095327/,8.5,324318,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation, Drama, War",Not Rated,PT1H28M
American History X,https://www.imdb.com/title/tt0120586/,8.5,1205103,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...","Crime, Drama",R,PT1H59M
Léon,https://www.imdb.com/title/tt0110413/,8.5,1269626,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.","Action, Crime, Drama",R,PT1H50M
The Prestige,https://www.imdb.com/title/tt0482571/,8.5,1470990,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi",PG-13,PT2H10M
Seppuku,https://www.imdb.com/title/tt0056058/,8.6,72332,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.","Action, Drama, Mystery",Not Rated,PT2H13M
The Usual Suspects,https://www.imdb.com/title/tt0114814/,8.5,1162896,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"Crime, Drama, Mystery",R,PT1H46M
